P14;"How would you classify the model used for governing Open Data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"Ukraine has implemented a bilateral system to support Open Data initiatives.
The Ministry of Digital Transformation of Ukraine is the main authority in the system of government bodies responsible for the formation and implementation of Open Data policy and strategy.
At the same time, local authorities, in accordance with their legal powers, develop the sphere of Open Data on the local level. Hence the model is hybrid where iniative for the Open Data sphere comes close from the Ministry and local goverements themselves";Confirm;;;;;;;;;;;;;;;;;;;;;
P15;"Does the governance structure ensure that the local and regional Open Data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;"Support for local initiatives is provided by the Ministry of Digital Transformation of Ukraine inter alia by concluding memorandums of cooperation with local councils. Within the framework of these memoranda, the Ministry supports local authorities in conducting information audits, adopting the internal legal framework of data providers, and grants a license for the deployment of local Open Data portals. Also, training on Open Data is mandatory for such bodies.
Thus, the Ministry of Digital Transformation is actively stimulating the development of regional Open Data policy, in particular to systematize work with administrators at the regional level and simplify citizens' access to Open Data. The Ministry provides interested local governments with a ""Standard software of a local Open Data portal"". https://diia.data.gov.ua/news/rozvytok-vidkrytykh-danykh-v-rehionakh.
Dozens of local governments are already a part of the abovementioned regional program.
Moreover, from the end of 2023, the Open Data Academy is implemented. It is an initiative aimed at raising the competencies of regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/.  ";;;;;;;;;;;;;;;;;;;
P16;"To what degree do local/regional public bodies conduct Open Data initiatives? 

For Explanation:
* If not applicable, please explain why.";all public bodies;;Confirm;;;;;;;;;;;;;;;;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) Open Data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;"Article 14 of the Law of Ukraine ""On Access to Public Information"" defines the main duties of the responsible structural units regarding access to information.
Article 15 of the same law defines special obligations for the publication of Open Data.
In addition, the Ministry of Digital Transformation has developed a standard provision for public information disclosure in the form of Open Data https://docs.google.com/document/d/1KKozOoDr7w_kfq52Tr1uaivA0lV3T0etLgGZatW_Meg/edit";Complement;Yes;"Article 14 of the Law of Ukraine ""On Access to Public Information"" defines the main duties of the responsible structural units regarding access to information.
Article 15 of the same law defines special obligations for the publication of Open Data.
In addition, the Ministry of Digital Transformation has developed a draft of provisions to be included in the job descriptions of civil servants responsible for Open Data publication https://docs.google.com/document/d/1KKozOoDr7w_kfq52Tr1uaivA0lV3T0etLgGZatW_Meg/edit 
Also, the issue of ensuring access to public information by executive authorities is regulated by the Presidential Decree: https://zakon.rada.gov.ua/laws/show/547/2011#Text  ";;;;;;;;;;;;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national Open Data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;There is no separate team maintaining the national portal. National Open Data team and national opendata portal team are the same people;Confirm;;;;;;;;;;;;;;;;;;;;;
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to Open Data (e.g. Open Data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;Since the creation of the Ministry of Digital Transformation in 2019, the position of the Chief Digital Transformation Officer was introduced. One of the responsibilities of the Chief Digital Transformation Officers is the coordination of the Open Data sphere. Furthermore, according to the Decree 835 each public body has to appoint  the person/s responsible for publication of the Open Data;Confirm;;;;;;;;;;;;;;;;;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national Open Data team and the wider network of Open Data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Between the national Open Data team and the Chief Digital transformation Offirecs hold weekly meetings to implement the Open Data policy in a specific executive body or specific region. The agendas and sum-ups of such meetings is used exclusively for official use;Complement;;"The Ministry of Digital Transformation of Ukraine is the main body responsible for the development of Open Data; ensures coordination of the publication of datasets on the portal by data providers and promotes its quality improvement. The Data+ communication platform was created with the assistance of the Ministry of Digital Transformation of Ukraine, which was publicly presented on May 29, 2024. Within the framework of the operation of Data+, regular meetings are held with stakeholders in the field: the Ministry of Digital Transformation of Ukraine, the Ombudsman of Ukraine, data providers, experts, civil society, etc. The first meeting of participants of this platform will take place at the end of June 2024. https://www.facebook.com/share/p/dLsKweKw8m12TPhT/? 
In addition, between the national Open Data team and the Chief Digital transformation Offirecs hold weekly meetings to implement the Open Data policy in a specific executive body or specific region. The agendas and sum-ups of such meetings is used exclusively for official use.
Moreover, from the end of 2023, the Open Data Academy is implemented. This is an initiative aimed at training the regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/. 
Also, in order to increase the level of professional knowledge and competencies of civil servants and officials of local government on ensuring rights to access to public information, proper organization of the process of access to Open Data, a general short-term training program for civil servants was developed with the support of National Agency of Ukraine for Civil Service Affairs: https://pdp.nacs.gov.ua/courses/dostup-do-publichnoi-informatsii-dlia-derzhavnykh-sluzhbovtsiv-ta-posadovykh-osib-mistsevoho-samovriaduvannia. In 2023, 497 employees completed this training program, in 2024, by the end of June, according to the plan, more than 330 employees will complete this program.
Also as an activity to develop professional skills of civil servants working with data is the online course Open Data for Civil Servants that is published on the national platform of the digital education - https://osvita.diia.gov.ua/courses/open-data. During the entire existence of this series, more than 67,000 civil servants have reviewed and successfully passed it.
In addition, the Ministry of Digital Transformation of Ukraine conducts trainings at the request of individual authorities and within the framework of the signed cooperation memoranda: trainings on Open Data for the State Environmental Inspection, the State Film Agency, the State Accounting Service, the Agency for Search and Asset Management, the Ministry of Infrastructure, the State Energy Efficiency Institute, the Institute of National Remembrance, the Vinnytsia, Dnipropetrovsk, and Ternopil regional military administrations, local government bodies of the Vinnytsia, Dnipropetrovsk, and Ternopil regions; Ministry of Veterans of Ukraine, Ukrhydrometeorological center, Bakhmut city council, Milovo, Novoaidar village military administrations, Haysyn city council, Ajam village council; for the Secretariat of the Parliamentary Commissioner for Human Rights, the State Food Safety Service, the State Customs Service, etc. More than 3 000 civil cervants took part in trainings conducted by the Ministarial Open Data Team for the last year. https://diia.data.gov.ua/news/rezultati-navcannya-z-vidkritix-danix-dlya-rozporyadnikiv-informacii
On November 28, 2023, Ukraine launched the CDTO Campus project to accelerate digital transformation across the country. Ukraine is one of the first countries in the world to introduce the position of Chief Digital Transformation Officer - CDTO both in ministries and at the regional level. Within this new strategic project, civil servants working in the field of digital transformation will be trained, and the state will be provided with specialists qualified to lead and implement digital reforms. Within this project, digital leaders are taught the basics of forming and implementing an Open Data policy. https://www.cdto-campus.com/ua/cdto-campus-ua, https://www.cdto-campus.com/ua/programs-ua/obsie-formuvannya-ta-realizaciya-politiki-vidkritih-danih-cdto-campus-copy.
In addition, in September 2023, the TAPAS project, together with the Ministry of Digital Transformation, launched a course on digitization and working with Open Data for civil servants. The training program was conducted for CDTOs of state bodies, civil servants of the ""A"" category, as well as for managers and specialists who are responsible for the development of Open Data and digital transformation in their institution. https://cdto.data.gov.ua/";;;;;;;;;;;;;;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and Open Data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;https://www.youtube.com/watch?v=GHaDXGMBwPQ https://www.youtube.com/watch?v=kOuMopjMl4g https://www.youtube.com/watch?v=AZsGoVMnqks ;Complement;Yes;"The Ministry of Digital Transformation of Ukraine constantly organizes events for communication with civil society, for example, regarding the role of Open Data in the transition to a low-carbon and circular economy, gender component in Open Data of Ukraine, compliance of European legislation with Ukrainian legislation: https://www.youtube.com/watch?v=IhmgQL0GiY0&t=2253s, https://www.youtube.com/watch?v=imjO_E2yycg, https://www.facebook.com/share/p/gSgLZ9PSMYj27kei/?
The series ""Open data for business"" was also launched on the Diya.Osvita platform https://osvita.diia.gov.ua/courses/opendata, which explains the concept of Open Data, how it can be useful to you, where you can get it, and how to use data for business development (more than 5000 views). Also In April 2024, two educational trainings ""Open data for the public and business"" were held (supported by OSCE), during which public activists, journalists and researchers learned how to use Open Data for their own research, what perspectives Open Data provides for analysis and how to ensure the transparency of decision-making by state bodies and local self-government bodies. Also during the training, representatives of successful non-commercial projects based on Open Data were invited to share their experience. https://texty.org.ua/d/opendata-showcase/. 
Also, in March, 2024 with the support of the TAPAS project, Data Driven Journalism was implemented - free training for journalists and journalism teachers who want to improve their skills in data journalism and data visualization. https://journalism-course.data.gov.ua/ 
Also, in February 2024 the Open Data Advocacy educational series was launched (more than 1600 views). Speakers of these series teach how to create and run advocacy campaigns to improve access to public information and effectively use Open Data. The series include 8 episodes, which contain a theoretical basis and practical advice. After viewing, you will learn about the possibilities of Open Data using examples of real cases from Ukrainian business, state and public sectors. As well as how to protect your right to access Open Data. https://osvita.diia.gov.ua/courses/open-data-advocation ";;;;;;;;;;;;;;;;;;;
;1.3 Open data implementation;;;;;;;;;;;;;;;;;;;;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;"Different public bodies at national/regional/local levels publish different types of publication plans. On a local level some cities, who joined Open Data Charter, publish strategies and/or actions plans on publishing Open Data, some central bodies publish strategies and/or internal orders on publishing Open Data. There is no unified approach but in general publication plans are available. At the moment Decree states the list of the datasets that has to be published and at the same time all publishers must regalarly publish and update a register of data sets where the frequency of updating the sets is indicated. Thus,according to the Decree planning of particular datasets are divided between the national (list of datasets) and the local level (frequency of updating sets) Some example of already existing plans http://www.namvk.if.ua/dt/309482/ http://www.namvk.if.ua/ref_doc/62640 Different public bodies at national/regional/local levels publish different types of publication plans. On a local level some cities, who joined Open Data Charter, publish strategies and/or actions plans on publishing Open Data, some central bodies publish strategies and/or internal orders on publishing Open Data. There is no unified approach but in general publication plans are available. At the moment Decree states the list of the datasets that has to be published and at the same time all publishers must regalarly publish and update a register of data sets where the frequency of updating the sets is indicated. Thus,according to the Decree planning of particular datasets are divided between the national (list of datasets) and the local level (frequency of updating sets)
Ministry of the digital transformation of Ukraine developed a tempalate plan for the local self-government bodies for improving the Open Data policy https://data.gov.ua/pages/plan-dii-z-pryiednannia-odc ";Confirm;;;;;;;;;;;;;;;;;;;;;
P23;"Are there processes to ensure that the Open Data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";yes;"There are three government mechanisms of the monitoring of the implementation of strategies on national and local level 
Yearly monitoring - Ministry of Digital Transformation submits yearly report to the Cabinet of Ministers on the implementation of The Open Data Strategy
Quarterly monitoring of the policy implementation.  Ministry of Digital Transformation conducts quarterly monitoring of the implementation of the policy by central authorities. The monitoring focuses on the availability of the data according to the requirements  of the legislation and its quality. 
Yearly monitoring  of Open Data programs.
Assessment focuses on the availability and quality of the published data, regulation framework inside of the pubic body, engagement and promotion of the use of the Open Data. The last monitoring is available here: https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf";Complement;Yes;"There are three government mechanisms of the monitoring of the implementation of strategies on national and local level 
Yearly monitoring - Ministry of Digital Transformation submits yearly report to the Cabinet of Ministers on the implementation of The Open Data Strategy
Quarterly monitoring of the policy implementation. Ministry of Digital Transformation conducts quarterly monitoring of the implementation of the policy by central authorities. The monitoring focuses on the availability of the data according to the requirements  of the legislation and its quality. 
Yearly monitoring  of Open Data programs.
Assessment focuses on the availability and quality of the published data, regulation framework inside of the pubic body, engagement and promotion of the use of the Open Data. The last monitoring is available here: https://data.gov.ua/uploads/files/2021-10-11-151345.820104--2020.pdf.
In order to monitor the level of data publication, state bodies and cities annually submit to the Ministry of Digital Affairs an assessment card of the state of publication and updating of Open Data. Based on the results of this assessment, reports on the state of publicizing and updating Open Data by data providers in 2021 and 2022 were created, which analyzed the level of data openness in cities and state authorities. https://diia.data.gov.ua/news/yakii-z-derzorganiv-je-liderom-za-vidkritistyu-danix-doslidzennya-mincifri-1";;;;;;;;;;;;;;;;;;;
P24;"Do you update your policy/strategy as appropriate to ensure its success, such as based on data collected for monitoring?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";new question;new question;Change;Yes;"According to the monitoring results, it was found that some data providers do not publish some datasets or, on the contrary, publish additional ones. In this regard, coordination meetings are currently being held with data providers regarding the introduction of amendments to the Decree № 835 inter alia, the updating the list of datasets to be published by data providers.
Also, an important component of the development of the field of Open Data is the approval of a new national strategy for the development of the field of Open Data for 2025-27, which will include, in particular, the following strategic goals: development of policy and legal regulation of the field of Open Data in Ukraine; improving the quality, interoperability, quantity and scope of Open Data sets and associated metadata; development of accessibility and capabilities of the Unified state web portal of Open Data; strengthening an education ecosystem in the field of Open Data; development of interaction between stakeholders in the field of Open Data in order to realize the social and economic potential of Open Data; strengthening the institutional capacity of the state apparatus in the formation and implementation of Open Data policy in Ukraine. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf. 
In addition, as part of the development of this strategy, 304 data sets that have high value for society or demonstrate important trends in certain areas of Open Data were analyzed. The analysis was carried out for the compliance of these sets with the principles of efficiency and accessibility of use, and the quality of the published data sets was also assessed. https://docs.google.com/document/d/1zv4zB7k-Nd1k5TGY03_TqLZTgjtrTDXD9WmV9XrmMJ4/edit
In addition, the Ministry of Digital Transformation monitors the functioning of the portal on a quarterly basis regarding the number of published sets, sets that are not publicly available due to security risks.
Also, the Ministry of Digital Transformation of Ukraine carries out appropriate monitoring to improve the policy or strategy when conducting relevant research in the field of Open Data, in particular regarding the role of Open Data in the transition to a low-carbon and circular economy, the gender component in Open Data of Ukraine, compliance with European legislation Ukrainian legislation: https://diia.data.gov.ua/news/opublikovano-doslidzennya-roli-vidkritix-danix-u-perexodi-do-circulyarnoyi-ta-nizkovuglecevoyi-ekonomiki,  https://tapas.org.ua/wp-content/uploads/2023/11/OD-research_27.11UA.pdf, https://tapas.org.ua/wp-content/uploads/2024/04/Analitychnyj-zvit-shchodo-doslidzhennia-krashchykh-praktyk-i-zakonodavstva-IeS-shchodo-standartyzatsii-naboriv-danykh-vysokoi-tsinnosti.pdf, https://eef.org.ua/wp-content/uploads/2023/07/Vidpovidnist-zakonodavstva-Ukrayiny-okremym-polozhennyam-pravogo-regulyuvannya-sfery-vidkrytyh-danyh-u-YEvropejskomu-Soyuzi.pdf.
Analytical materials of stakeholders in the field can be used to improve the policy, such as the report on the status of environmental Open Data in Ukraine, prepared by the public organization ""Save Dnipro"" https://www.saveecobot.com/static/environmental-data-status.
The Data+ communication platform is created with the assistance of the Ministry of Digital Transformation of Ukraine and was publicly presented on May 29, 2024. Within the framework of the operation of Data+, regular meetings are held with stakeholders in the field: the Ministry of Digital Transformation of Ukraine, the Ombudsman of Ukraine, data providers, experts, civil society, etc. The first meeting of participants of this platform will take place at the end of June 2024. At such meetings, topical problems of the field will be discussed and common ways of solving them will be found for policy improvement. 
The first user satisfaction and demand for Open Data survey was launched on June 3, 2024. The survey is targeted towards representatives of businesses, civil servants, civil society organizations (CSOs), and the media. The collected information will help to identify gaps in Open Data and plan the framework of the Data+ platform for cooperation between MDT and stakeholders. It will also include feedback on the functionality of the Unified Open Data Portal (UODP) and what type of unpublished Open Data is important and should be made accessible. The survey is expected to conclude at the end of June 2024.  
https://www.facebook.com/share/p/dLsKweKw8m12TPhT/?.
In addition, when conducting information audits, data providers conduct public consultations and surveys in order to investigate the level of satisfaction with the data released and improve policy at the level of a specific authority. 
In January 2024, a survey of users of the Unified State Web Portal of Open Data was conducted to determine the needs of data users https://docs.google.com/forms/d/e/1FAIpQLScwiBCSqO3Byx8fcZlpujEbrm3DWYeuiMyd9YfyBrC2wpb4ew/viewform 
https://docs.google.com/forms/d/e/1FAIpQLSdXGQ11Jrx9zvBU_X_7BYVENqKRBgdf0WyxndbRy5zL6-TMLg/viewform - the survey for data users is conducted to determine the priorities of the Ministry of Digital Transformation in the field of Open Data and planning the operation of the Data+ communication platform.";;;;;;;;;;;;;;;;;;;
P25;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on Open Data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";yes;"According to the Law of Ukraine ""On Access to Public Information"" there is no charging for opedata datasets. All of them are free of charge";Confirm;;;;;;;;;;;;;;;;;;;;;
P26-a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned Open Data policies/strategy?

For Explanation:
* Please briefly describe.";N/A;"The war waged by Russia against Ukraine has a significant impact on the Open Data sphere and the implementation of strategies and plans for the development of the Open Data sphere.
To ensure the interests of national security and defense, the work of national and local portals was suspended. Suspended activities related to improving the level of skills in Open Data. In addition, due to the war, funding for IT development, including Open Data, has been significantly reduced";Change;N/A;"The full-scale war waged by Russia against Ukraine has a significant impact on the Open Data sphere and the implementation of strategies and plans for the development of the Open Data sphere. To ensure the interests of national security and defense, till August 2022 the work of national and local portals was temporarily suspended, as well as activities related to improving the level of skills in Open Data. In addition, due to the war, funding for IT development, including Open Data, has been significantly reduced.
At the same time, despite the full-scale invasion of the Russian Federation into Ukraine, the Ministry of Digital Transformation in every possible way ensures the safe opening of data, access to which has been restricted due to military operations. For this, it is necessary to find a balance between transparency and security, taking into account all the challenges of war. For this purpose, a method of conducting a three-part test is currently being developed (https://www.facebook.com/mintsyfra/posts/pfbid0aMQXFMTP8sk84qRa8YcF1pgV7xtC4J2RV8WfW7Lk48unLrBLz45g23TJmXeNTSStl), constant consultations are held with data providers and other stakeholders. Ministry of Digital Transformation of Ukraine proactively takes measures to renew access to datasets of high social interest, for example the Unified State Register of Legal Entities and Individual Entrepreneurs and Public Organizations, Register of Damaged and Destroyed Property in the form of Open Data taking into account security interests.";;;;;;;;;;;;;;;;;;;
P26-b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges.";yes;"To overcome the negative consequences of the war, the Government of Ukraine established the National Council for the Recovery of Ukraine from the effects of the war, one of the tasks of which is the further development of the IT sector, including Open Data. 
It is planned that Open Data will be the basis for the reconstruction of Ukraine and ensure transparent and accountable funding for reconstruction projects https://www.kmu.gov.ua/diyalnist/nacionalna-rada-z-vidnovlennya-ukrayini-vid-naslidkiv-vijni/pro-nacionalnu-radu-z-vidnovlennya-ukrayini-vid-naslidkiv-vijni Action plan on recovery is available via link https://recovery.gov.ua/en/project ";Complement;Yes;"In addition, the new strategy for the development of the field of Open Data for 2025-27 provides for the solution of common problems in the field of Open Data, in particular by improving the regulatory and legal framework, improving the quality of data, their interoperability and availability. Also at the Open Data Day event, the Ministry of Digital Transformation presented stakeholders with a vision for the development of Open Data. In particular, coordination with the law enforcement unit and the Ombudsman's Office is important for finding optimal solutions for data publication. https://www.kmu.gov.ua/news/mintsyfry-prezentuvala-viziiu-rozvytku-vidkrytykh-danykh-v-ukraini. The event ""Open data: the path to transparency and accountability"" also discussed the possibility of reviving the publication of Open Data in the fields of energy, ecology and data for transparent business conduct, as well as presented a single space for cooperation between data providers and users of Open Data — the Data+ communication platform. https://www.facebook.com/share/p/KeMh45LUpBGvzBcB/?. 
Also, the Ministry of Digital Transformation provides consulting support to data providers during their information audits, develops recommendations for data providers to make datasets public, representatives of the Ministry participate in meetings of committees of the Verkhovna Rada of Ukraine, etc.";;;;;;;;;;;;;;;;;;;
P27;"Are there any activities in place to assist data holders with publishing their data as Open Data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";new question;new question;Change;Yes;"The Ministry of Digital Transformation of Ukraine is the main body responsible for the development of Open Data; ensures coordination of the publication of data sets on the portal by data providers and promotes its quality improvement.
To ensure the support of data providers, the Ministry constantly consults the responsible persons of data providers. During dataset moderation (checking by an authorized person of the portal holder of data sets uploaded to the portal for compliance with the requirements specified in the Regulation on data sets to be made public in the form of Open Data), incorrectly created sets are rejected with appropriate comments, then these comments must be made by the data provider corrected. In addition, the strategic goals of the new strategy for the development of Open Data are to strengthen an ecosystem of education in the field of Open Data, to improve the quality and interoperability of published datasets. In addition, the Ministry actively stimulates the development of the regional Open Data policy by concluding memorandums of cooperation with local self-government bodies and, accordingly, providing support to these bodies during the implementation of the Open Data policy.
Moreover, from the end of 2023, the Open Data Academy is implemented. This is an initiative aimed at training the regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/.
Also, in order to increase the level of professional knowledge and competencies of civil servants and officials of local self-government in the field of ensuring rights to access to public information, proper organization of the process of access to Open Data, a general short-term training program for civil servants was developed in co-operation with National Agency of Ukraine for Civil Service Affairs: https://pdp.nacs.gov.ua/courses/dostup-do-publichnoi-informatsii-dlia-derzhavnykh-sluzhbovtsiv-ta-posadovykh-osib-mistsevoho-samovriaduvannia. In 2023, 497 employees completed this training program, in 2024, by the end of June, according to the plan, more than 330 employees will complete this program.
Also as a measure to develop professional skills of civil servants working with data is the online course Open Data for Civil Servants that is published on the national platform of the digital education - https://osvita.diia.gov.ua/courses/open-data. During the entire existence of this series, more than 67,000 civil servants have reviewed and successfully passed it.
In addition, the Ministry of Digital Transformation of Ukraine conducts trainings at the request of individual authorities and within the framework of the signed cooperation memoranda: trainings on Open Data for the State Environmental Inspection, the State Film Agency, the State Accounting Service, the Agency for Search and Asset Management, the Ministry of Infrastructure, the State Energy Efficiency Institute, the Institute of National Remembrance, the Vinnytsia, Dnipropetrovsk, and Ternopil regional military administrations, local self-government bodies of the Vinnytsia, Dnipropetrovsk, and Ternopil regions; Ministry of Veterans of Ukraine, Ukrhydrometeorological center, Bakhmut city council, Milovo, Novoaidar village military administrations, Haysyn city council, Ajam village council; for the Secretariat of the Parliamentary Commissioner for Human Rights, the State Food Safety Service, the State Customs Service, etc. More than 3 000 civil cervants took part in trainings conducted by the Ministarial Open Data Team for the last year. https://diia.data.gov.ua/news/rezultati-navcannya-z-vidkritix-danix-dlya-rozporyadnikiv-informacii 
On November 28, 2023, Ukraine launched the CDTO Campus project to accelerate digital transformation across the country. Ukraine is one of the first countries in the world to introduce the position of Chief Digital Transformation Officer - CDTO both in ministries and at the regional level. Within this new strategic project, civil servants working in the field of digital transformation will be trained, and the state will be provided with specialists qualified to lead and implement digital reforms. Within this project, digital leaders are taught the basics of forming and implementing an Open Data policy. https://www.cdto-campus.com/ua/cdto-campus-ua, https://www.cdto-campus.com/ua/programs-ua/obsie-formuvannya-ta-realizaciya-politiki-vidkritih-danih-cdto-campus-copy.
In addition, in September 2023, the TAPAS project, together with the Ministry of Digital Transformation, launched a course on digitization and working with Open Data for civil servants. The training program was conducted for CDTOs of state bodies, civil servants of the ""A"" category, as well as for managers and specialists who are responsible for the development of Open Data and digital transformation in their institution. https://cdto.data.gov.ua/";;;;;;;;;;;;;;;;;;;
P28;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";yes;"Ministry of Digital Transformation, National Agency of Ukraine for Civil Service Affairs launched the course the certified advanced training program, which is titled, ""Open Data for Civil Servants: A Practical Course."" The program aims to increase the competency of officials from public authorities and local governments who are responsible for the disclosure of public information in the form of Open Data and covers 18 different topics. https://pdp.nacs.gov.ua/courses/vidkryti-dani-dlia-derzhsluzhbovtsiv-praktychnyi-kurs
Also as a measure to develop professional skills of civil servants working with data is the online course Open Data for Civil Servants that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/open-data. This was the first Open Data course certified by the National Agency of Ukraine for Civil Service Affairs. The course was launached on September 2020. Since then more than 132 000  goverment officials completed the course ";Complement;Yes;"The Ministry of Digital Transformation of Ukraine is the main body responsible for the development of Open Data; ensures coordination of the publication of datasets on the portal by data providers and promotes its quality improvement.
From the end of 2023, the Open Data Academy is implemented. This is an initiative aimed at training regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/.
Also, in order to increase the level of professional knowledge and competencies of civil servants and officials of local self-government in the field of ensuring rights to access to public information, proper organization of the process of access to Open Data, a general short-term training program for civil servants was developed in co-operation with the National Agency of Ukraine for Civil Service Affairs: https://pdp.nacs.gov.ua/courses/dostup-do-publichnoi-informatsii-dlia-derzhavnykh-sluzhbovtsiv-ta-posadovykh-osib-mistsevoho-samovriaduvannia. In 2023, 497 employees completed this training program, in 2024, by the end of June, according to the plan, more than 330 employees will complete this program.
Also as a measure to develop professional skills of civil servants working with data is the online course Open Data for Civil Servants thatis published on the national platform of the digital education - https://osvita.diia.gov.ua/courses/open-data. During the entire existence of this series, more than 67,000 civil servants have reviewed and successfully passed it.
In addition, the Ministry of Digital Transformation of Ukraine conducts trainings at the request of individual authorities and within the framework of the signed cooperation memoranda: trainings on Open Data for the State Environmental Inspection, the State Film Agency, the State Accounting Service, the Agency for Search and Asset Management, the Ministry of Infrastructure, the State Energy Efficiency Institute, the Institute of National Remembrance, the Vinnytsia, Dnipropetrovsk, and Ternopil regional military administrations, local self-government bodies of the Vinnytsia, Dnipropetrovsk, and Ternopil regions; Ministry of Veterans of Ukraine, Ukrhydrometeorological center, Bakhmut city council, Milovo, Novoaidar village military administrations, Haysyn city council, Ajam village council; for the Secretariat of the Parliamentary Commissioner for Human Rights, the State Food Safety Service, the State Customs Service, etc.  More than 3 000 civil cervants took part in trainings conducted by the Ministarial Open Data Team for the last year. https://diia.data.gov.ua/news/rezultati-navcannya-z-vidkritix-danix-dlya-rozporyadnikiv-informacii 
On November 28, 2023, Ukraine launched the CDTO Campus project to accelerate digital transformation across the country. Ukraine is one of the first countries in the world to introduce the position of Chief Digital Transformation Officer - CDTO. in ministries and at the regional level. Within this new strategic project, civil servants working in the field of digital transformation will be trained, and the state will be provided with specialists qualified to lead and implement digital reforms. Within this project, digital leaders are taught the basics of forming and implementing an Open Data policy. https://www.cdto-campus.com/ua/cdto-campus-ua, https://www.cdto-campus.com/ua/programs-ua/obsie-formuvannya-ta-realizaciya-politiki-vidkritih-danih-cdto-campus-copy.
In addition, in September 2023, the TAPAS project, together with the Ministry of Digital Transformation, launched a course on digitization and working with Open Data for civil servants. The training program was conducted for CDTOs of state bodies, civil servants of the ""A"" category, as well as for managers and specialists who are responsible for the development of Open Data and digital transformation in their institution. https://cdto.data.gov.ua/";;;;;;;;;;;;;;;;;;;
